location,2019,2020
0,Nipania,3523.0,3523.0
1,Bhicholi Mardana,3250.0,3250.0
2,Rau,2191.0,2191.0
3,Bhawrasla,2319.0,2319.0
4,Mahalakshmi Nagar,4165.0,4165.0
5,Manglia,1456.0,1456.0
6,Lasudia Mori,3070.0,3070.0
7,Palakhedi,1590.0,1590.0
8,Omex City,2301.0,2301.0
9,Vijay Nagar,3998.0,3998.0
10,Scheme No 114,3295.0,3295.0
11,Maharaja Tukoji Rao Holker Cloth Market,3600.0,3600.0
12,Talawali Chanda,2478.0,2478.0
13,Sangam Nagar,3347.0,3347.0
14,New Rani Bagh,3312.0,3312.0
15,Ringnodiya,2249.0,2249.0
16,Sahara City Homes,4511.0,4511.0
17,Bada Bangarda,1888.0,1888.0
18,Scheme 78,4808.0,4808.0
19,Rajendra Nagar,3505.0,3505.0
20,Nipania,26809.0,26809.0
21,Vijay Nagar,16378.0,16378.0
22,Bhicholi Mardana,10919.0,10919.0
23,Lasudia Mori,15557.0,15557.0
24,Mahalakshmi Nagar,20248.0,20248.0
25,Sahara City Homes,14255.0,14255.0
26,New Rani Bagh,11318.0,11318.0
27,Bengali Square,13007.0,13007.0
28,Rau,9205.0,9205.0
29,Manorama Ganj,16644.0,16644.0
30,L I G Colony,17313.0,17313.0
31,Palasia,20290.0,20290.0
32,Scheme No 114,18416.0,18416.0
33,Old Palasia,17633.0,17633.0
34,Bhawrasla,10865.0,10865.0
35,Talawali Chanda,11521.0,11521.0
36,Rajendra Nagar,9442.0,9442.0
37,Sukhliya,11368.0,11368.0
38,Maharaja Tukoji Rao Holker Cloth Market,19472.0,19472.0
39,Sanvid Nagar,31222.0,31222.0
